Year,Net Revenue (NT$k),Net Revenue/GDP (%),"GDP (NT$k, back-calculated)",Tax Revenue (NT$k),Tax Revenue/GDP (%)
1974,110054407,21.6,509511143,88853830,17.4
1975,126310834,22.3,566416295,97503608,17.2
1976,156123655,23.7,658749599,121767214,18.5
1977,180224957,23.1,780194619,139305220,17.9
1978,216168346,23.5,919865302,168193559,18.3
1979,276559318,24.8,1115158540,220521220,19.8
1980,340714706,25.0,1362858824,261349157,19.2
1981,411711857,24.6,1673625434,315049495,18.8
1982,454460904,24.2,1877937619,338090320,18.0
1983,461116880,22.7,2031351894,342378967,16.9
1984,515913443,22.4,2303185013,383364419,16.6
1985,542602615,21.9,2477637511,394846161,15.9
1986,584838113,21.6,2707583856,401799624,14.8
1987,650202641,20.5,3171720200,461454861,14.5
1988,765439044,22.1,3463525085,558045676,16.1
1989,921575298,24.1,3823963892,677418310,17.7
1990,1092401322,25.6,4267192664,847733398,19.9
1991,1049930814,22.2,4729418081,808620588,17.1
1992,1257568462,23.6,5328679923,967623881,18.2
1993,1416334233,24.0,5901392637,1045496186,17.7
1994,1502754406,23.2,6477389681,1127481060,17.4
1995,1559428922,22.1,7056239466,1232263996,17.5
1996,1604184019,20.8,7712423168,1197796543,15.5
1997,1704758733,20.5,8315896258,1271452683,15.3
1998,2053458063,22.6,9086097623,1397052497,15.4
1999,2004394362,20.9,9590403645,1355061942,14.1
2000,2784862529,18.2,15301442467,1929767339,12.6
2001,1896840574,18.7,10143532481,1257840609,12.4
2002,1787918681,16.8,10642373101,1225600850,11.5
2003,1948847371,17.8,10948580735,1252766218,11.4
2004,1927399732,16.6,11610841759,1387300291,11.9
2005,2218039419,18.4,12054562059,1567396363,13.0
2006,2177017797,17.3,12583917901,1600803894,12.7
2007,2244758463,16.8,13361657517,1733894782,13.0
2008,2231613847,17.0,13127140276,1760438282,13.4
2009,2113644128,16.4,12888073951,1530282190,11.9
2010,2115553880,15.0,14103692533,1622244070,11.5
2011,2306173039,16.2,14235636043,1764610616,12.4
2012,2321205197,15.8,14691172132,1796697193,12.2
2013,2457632464,16.1,15264797913,1834124153,12.0
2014,2508815115,15.4,16291007240,1976106922,12.1
2015,2662327565,15.6,17066202339,2134857093,12.5
2016,2690917507,15.3,17587696124,2224075454,12.6
2017,2753328933,15.3,17995613941,2251246001,12.5
2018,2848610924,15.5,18378134993,2386944903,13.0
2019,2931854938,15.5,18915193148,2470519242,13.1
2020,3036131881,15.2,19974551848,2398667080,12.0
2021,3321121713,15.3,21706677862,2874212555,13.2
2022,3690710457,16.2,22782163314,3247877156,14.3
2023,3888796962,16.5,23568466436,3456157917,14.7
2024,4184950876,16.3,25674545251,3761881506,14.7
